file_name,speaker_id,speaker_group,speaker_gender,word,transcription,emotion,label,audio_path,duration_seconds
OAF_back_angry.wav,OAF,older_adult_female,female,back,Say the word back.,angry,0,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_back_angry.wav,1.5390625
OAF_back_disgust.wav,OAF,older_adult_female,female,back,Say the word back.,disgust,1,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_back_disgust.wav,2.260375
OAF_back_fear.wav,OAF,older_adult_female,female,back,Say the word back.,fear,2,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_back_fear.wav,1.727125
OAF_back_happy.wav,OAF,older_adult_female,female,back,Say the word back.,happy,3,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_back_happy.wav,2.001
OAF_back_neutral.wav,OAF,older_adult_female,female,back,Say the word back.,neutral,4,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_back_neutral.wav,2.0434375
OAF_back_ps.wav,OAF,older_adult_female,female,back,Say the word back.,pleasant_surprise,5,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_back_ps.wav,2.0324375
OAF_back_sad.wav,OAF,older_adult_female,female,back,Say the word back.,sad,6,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_back_sad.wav,2.5624375
OAF_bar_angry.wav,OAF,older_adult_female,female,bar,Say the word bar.,angry,0,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bar_angry.wav,1.616625
OAF_bar_disgust.wav,OAF,older_adult_female,female,bar,Say the word bar.,disgust,1,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bar_disgust.wav,2.273
OAF_bar_fear.wav,OAF,older_adult_female,female,bar,Say the word bar.,fear,2,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bar_fear.wav,1.6896875
OAF_bar_happy.wav,OAF,older_adult_female,female,bar,Say the word bar.,happy,3,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bar_happy.wav,2.000375
OAF_bar_neutral.wav,OAF,older_adult_female,female,bar,Say the word bar.,neutral,4,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bar_neutral.wav,2.002
OAF_bar_ps.wav,OAF,older_adult_female,female,bar,Say the word bar.,pleasant_surprise,5,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bar_ps.wav,1.9344375
OAF_bar_sad.wav,OAF,older_adult_female,female,bar,Say the word bar.,sad,6,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_bar_sad.wav,2.5018125
OAF_base_angry.wav,OAF,older_adult_female,female,base,Say the word base.,angry,0,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_base_angry.wav,1.5420625
OAF_base_disgust.wav,OAF,older_adult_female,female,base,Say the word base.,disgust,1,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_base_disgust.wav,2.4974375
OAF_base_fear.wav,OAF,older_adult_female,female,base,Say the word base.,fear,2,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_base_fear.wav,1.8691875
OAF_base_happy.wav,OAF,older_adult_female,female,base,Say the word base.,happy,3,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_base_happy.wav,2.0331875
OAF_base_neutral.wav,OAF,older_adult_female,female,base,Say the word base.,neutral,4,/Users/luigi/Documents/MSc-PoliTO/II_anno/XAI/progetto/explainable-models-for-speech-analysis/data/raw/tess/audio/OAF_base_neutral.wav,2.149875
